id_client;job_category;service_channel;nb_internet_products;contract_type;risk_of_credit;credit_flux;annual_flux;target
212;4399C;ENTREPRISE;2;1;7;0 a 70% de flux;39606,92;0
213;4932Z;BUREAU DE POSTE;2;1;6;0 a 70% de flux;14812,13;1
214;8690;PRO;2;1;8;Plus de 70% de flux;20158,07;0
215;7420Z;PRO;2;1;7;Inconnu;570;0
216;8690;PRO;1;1;8;Inconnu;31471,84;0
217;4781Z;BUREAU DE POSTE;1;1;7;0 a 70% de flux;1673,62;0
218;4331Z;BUREAU DE POSTE;2;1;6;Inconnu;11870,5;0
219;4331Z;BUREAU DE POSTE;2;1;;Inconnu;18563,2;0
220;4333Z;BUREAU DE POSTE;2;1;8;0 a 70% de flux;6050;0
221;6910Z;PRO;1;1;7;0 a 70% de flux;22640,9;0
222;4751Z;BUREAU DE POSTE;1;1;6;Pas de flux;;0
223;4321A;BUREAU DE POSTE;2;1;7;Inconnu;12335,99;0
224;7311Z;PRO;0;1;7;Pas de flux;;0
225;7022Z;BUREAU DE POSTE;2;1;;Inconnu;44520;0
226;8690E;PRO;1;1;7;0 a 70% de flux;14781,22;1
227;4321A;BUREAU DE POSTE;1;1;6;Inconnu;260;0
228;9329Z;BUREAU DE POSTE;1;1;8;0 a 70% de flux;3756,47;0
229;5320Z;BUREAU DE POSTE;1;1;7;Inconnu;2091,27;0
230;4333Z;PRO;1;1;7;Inconnu;29575,17;0
231;9003B;PRO;1;1;8;0 a 70% de flux;21399,4;0
232;4932Z;BUREAU DE POSTE;1;1;7;0 a 70% de flux;5094,84;1
233;4781Z;BUREAU DE POSTE;0;1;7;Inconnu;18620,23;0
234;9329Z;BUREAU DE POSTE;1;1;8;Inconnu;3198;0
235;9602A;BUREAU DE POSTE;2;1;6;0 a 70% de flux;8024;0
236;8559B;PRO;1;1;;Pas de flux;;0
237;9329Z;BUREAU DE POSTE;0;1;8;Inconnu;50;0
238;4331Z;BUREAU DE POSTE;1;1;7;Inconnu;18090,37;0
239;4771Z;PRO;1;1;6;0 a 70% de flux;34508,24;0
240;4636Z;BUREAU DE POSTE;1;1;6;Pas de flux;;0
241;5610C;PRO;1;1;6;Inconnu;2750;1
242;7022Z;BUREAU DE POSTE;1;1;7;Inconnu;15;0
243;6910Z;PRO;2;1;;Inconnu;4600;0
244;4789Z;BUREAU DE POSTE;1;1;7;Inconnu;7928;0
245;4781Z;PRO;2;1;7;0 a 70% de flux;12280;0
246;9003A;PRO;1;1;9;0 a 70% de flux;27312;0
247;6910Z;PRO;2;1;;Inconnu;11000;0
248;4322A;BUREAU DE POSTE;1;1;7;Pas de flux;;0
249;0000Z;BUREAU DE POSTE;2;1;;Inconnu;5823,26;0
250;4334Z;BUREAU DE POSTE;2;1;7;Inconnu;5870;0
251;8690E;BUREAU DE POSTE;2;1;7;0 a 70% de flux;12994,59;0
252;8690;BUREAU DE POSTE;1;1;;Inconnu;10813,33;0
253;1392Z;BUREAU DE POSTE;1;1;7;Inconnu;442,04;0
254;4511Z;BUREAU DE POSTE;1;1;7;Pas de flux;;0
255;6201Z;PRO;0;0;7;Pas de flux;;0
256;7220Z;PRO;2;1;8;0 a 70% de flux;9844,15;0
257;3299Z;BUREAU DE POSTE;2;1;6;Inconnu;1645,76;0
258;5610C;PRO;1;1;5;0 a 70% de flux;28222,5;1
259;8690E;BUREAU DE POSTE;1;1;6;0 a 70% de flux;11256,6;0
260;9511Z;PRO;2;1;6;0 a 70% de flux;104827,67;0
261;3213Z;BUREAU DE POSTE;1;1;6;Inconnu;75;0
262;4329B;BUREAU DE POSTE;1;1;7;Plus de 70% de flux;5540;0
263;8122Z;PRO;2;1;7;0 a 70% de flux;12598,8;0
264;4799A;BUREAU DE POSTE;1;1;7;0 a 70% de flux;3779;0
265;4520A;BUREAU DE POSTE;2;1;CESS;Inconnu;12235,71;0
266;4799A;PRO;2;1;6;Inconnu;3005;0
267;8552Z;BUREAU DE POSTE;2;1;;Inconnu;1355;0
268;8220Z;BUREAU DE POSTE;2;1;7;Inconnu;1660;0
269;2370Z;BUREAU DE POSTE;0;1;;Inconnu;5367,19;0
270;4789Z;BUREAU DE POSTE;1;1;8;Pas de flux;;0
271;0143Z;BUREAU DE POSTE;1;1;;Pas de flux;;0
272;4331Z;BUREAU DE POSTE;1;1;6;Inconnu;7776,16;0
273;8690;PRO;1;1;7;0 a 70% de flux;7878,78;0
274;8690;PRO;1;1;8;0 a 70% de flux;6630;0
275;8690;PRO;2;1;8;Inconnu;252872,88;0
276;9521Z;BUREAU DE POSTE;1;1;8;Pas de flux;;0
277;7112B;BUREAU DE POSTE;1;1;7;Pas de flux;;0
278;8810A;BUREAU DE POSTE;1;1;7;0 a 70% de flux;68047,21;0
279;8610Z;SPL;1;2;7;0 a 70% de flux;13816,5;0
280;8520Z;INSTITUTIONNEL;1;1;7;Pas de flux;;0
281;8520Z;BUREAU DE POSTE;0;0;;Pas de flux;;0
282;8899B;INSTITUTIONNEL;1;1;;Inconnu;100;0
283;8899B;BUREAU DE POSTE;1;2;6;Pas de flux;;0
284;9491Z;INSTITUTIONNEL;1;1;NC;Inconnu;55546,49;0
285;8710A;BUREAU DE POSTE;1;1;;Inconnu;306483,71;0
286;5520Z;BUREAU DE POSTE;1;1;;Pas de flux;;0
287;8899B;BUREAU DE POSTE;0;1;;0 a 70% de flux;9157,29;0
288;5520Z;BUREAU DE POSTE;0;1;;Pas de flux;;0
289;9312Z;PRO;2;1;8;Inconnu;13201;0
290;5629B;INSTITUTIONNEL;3;1;6;Plus de 70% de flux;130913,62;0
291;9499Z;PRO;2;1;7;0 a 70% de flux;2590,78;1
292;;BUREAU DE POSTE;0;1;;Inconnu;93814,9;0
293;;BUREAU DE POSTE;0;1;;Inconnu;6781,11;0
294;8520Z;BUREAU DE POSTE;1;1;;Inconnu;10095,06;0
295;9499Z;BUREAU DE POSTE;0;1;;Pas de flux;;0
296;8810A;BUREAU DE POSTE;0;1;;Pas de flux;;0
297;;BUREAU DE POSTE;1;1;;Pas de flux;;0
298;8520Z;INSTITUTIONNEL;1;1;7;0 a 70% de flux;2427,27;0
299;8899B;BUREAU DE POSTE;2;1;;Pas de flux;;0
300;8520Z;INSTITUTIONNEL;3;2;6;Inconnu;213232,96;0
301;8520Z;INSTITUTIONNEL;1;1;7;0 a 70% de flux;2311;0
302;9420Z;INSTITUTIONNEL;2;3;NC;0 a 70% de flux;54654,51;0
303;9491Z;BUREAU DE POSTE;0;1;;Inconnu;4605;0
304;9499Z;BUREAU DE POSTE;1;1;6;0 a 70% de flux;1427,35;0
305;8810A;BUREAU DE POSTE;0;1;;Inconnu;958,63;0
306;9312Z;BUREAU DE POSTE;1;1;7;0 a 70% de flux;53963,32;0
307;8710A;SPL;0;2;7;0 a 70% de flux;1756076,57;0
308;;PRO;1;1;;Inconnu;3711;1
309;5811Z;INSTITUTIONNEL;2;2;7;0 a 70% de flux;179151,35;0
310;9499Z;BUREAU DE POSTE;0;1;;Pas de flux;;0
311;9491Z;BUREAU DE POSTE;1;1;;0 a 70% de flux;23320,22;0
312;9491Z;BUREAU DE POSTE;2;1;NC;Inconnu;22857,34;0
313;8891A;BUREAU DE POSTE;0;1;7;Pas de flux;;0
314;9499Z;BUREAU DE POSTE;0;1;;Pas de flux;;0
315;8810A;BUREAU DE POSTE;1;1;7;Inconnu;6128,07;0
316;9499Z;INSTITUTIONNEL;2;1;7;Pas de flux;;0
317;9499Z;BUREAU DE POSTE;2;1;;Inconnu;4376;0
318;8810A;BUREAU DE POSTE;2;1;6;0 a 70% de flux;110908,77;0
319;8810A;BUREAU DE POSTE;0;1;6;0 a 70% de flux;23032,06;0
320;;BUREAU DE POSTE;0;1;;Inconnu;51887,12;0
321;;BUREAU DE POSTE;0;0;;Pas de flux;;0
322;;BUREAU DE POSTE;0;0;;Pas de flux;;0
323;9420Z;INSTITUTIONNEL;2;1;NC;0 a 70% de flux;92902,88;0
324;8520Z;BUREAU DE POSTE;1;1;7;0 a 70% de flux;10806,2;0
325;;BUREAU DE POSTE;0;0;;Pas de flux;;0
326;6512Z;INSTITUTIONNEL;0;0;;Pas de flux;;0
327;;BUREAU DE POSTE;0;0;;Pas de flux;;0
328;4322A;A DISTANCE;0;1;6;Pas de flux;;0
329;9602A;BUREAU DE POSTE;2;1;5;Inconnu;17084,52;0
330;4321A;PRO;2;1;4;0 a 70% de flux;59722,4;0
331;8690;PRO;0;1;8;0 a 70% de flux;31623,82;0
332;4778C;BUREAU DE POSTE;0;1;7;0 a 70% de flux;6620,47;0
333;8621Z;A DISTANCE;2;1;8;0 a 70% de flux;54316,47;1
334;8690;BUREAU DE POSTE;1;1;7;0 a 70% de flux;19295,24;0
335;9602B;BUREAU DE POSTE;1;1;7;0 a 70% de flux;6865,86;0
336;8690;PRO;1;1;7;0 a 70% de flux;26825,11;0
337;4799A;BUREAU DE POSTE;1;1;7;Inconnu;21219,13;0
338;8690;PRO;2;1;7;0 a 70% de flux;13373,93;0
339;8690;BUREAU DE POSTE;0;1;;Inconnu;12946;0
340;8129B;BUREAU DE POSTE;0;1;6;Inconnu;490,7;0
341;8690;BUREAU DE POSTE;1;1;8;Inconnu;14246,92;0
342;8690E;PRO;2;1;8;0 a 70% de flux;6510,35;0
343;8690;PRO;1;1;8;0 a 70% de flux;66656,91;0
344;5610A;BUREAU DE POSTE;2;1;4;0 a 70% de flux;11693,65;1
345;9529Z;BUREAU DE POSTE;1;1;7;Inconnu;1347;0
346;1072Z;BUREAU DE POSTE;2;1;6;Inconnu;6831,5;0
347;9602A;BUREAU DE POSTE;1;1;5;Inconnu;6199,5;0
348;8690;BUREAU DE POSTE;2;1;7;Inconnu;3970;0
349;8690;BUREAU DE POSTE;1;1;8;Pas de flux;;0
350;5610C;BUREAU DE POSTE;0;1;5;Pas de flux;;0
351;4789Z;BUREAU DE POSTE;1;1;6;Inconnu;2700;0
352;8121Z;PRO;2;1;8;0 a 70% de flux;6923,16;0
353;8219Z;BUREAU DE POSTE;2;1;7;Inconnu;317,27;0
354;9602A;PRO;1;1;6;0 a 70% de flux;4545,5;0
355;4729Z;PRO;1;1;6;0 a 70% de flux;21799,21;1
356;8690;PRO;1;1;7;Inconnu;642;0
357;4799B;BUREAU DE POSTE;0;1;7;Pas de flux;;0
358;8690E;A DISTANCE;2;1;7;Inconnu;29186,82;0
359;9003A;PRO;2;1;7;0 a 70% de flux;7472;0
360;4540Z;BUREAU DE POSTE;1;1;6;0 a 70% de flux;5218,71;0
361;6831Z;PRO;2;1;8;0 a 70% de flux;31396;0
362;9329Z;PRO;0;1;;0 a 70% de flux;14352;0
363;4321A;BUREAU DE POSTE;2;1;7;Inconnu;6772,5;0
364;8690;PRO;2;1;CESS;0 a 70% de flux;632,86;0
365;8690;PRO;2;1;8;0 a 70% de flux;18188,15;0
366;8552Z;PRO;1;1;7;0 a 70% de flux;3513;0
367;2341Z;BUREAU DE POSTE;1;1;6;Pas de flux;;0
368;8690;BUREAU DE POSTE;1;1;8;0 a 70% de flux;16134,32;0
369;5610C;BUREAU DE POSTE;2;1;6;Inconnu;1627,54;0
370;4334Z;BUREAU DE POSTE;1;1;6;0 a 70% de flux;7102,29;0
371;4778C;BUREAU DE POSTE;1;1;6;0 a 70% de flux;17855,4;1
372;8690;PRO;1;1;7;0 a 70% de flux;15530;0
373;8690;PRO;1;1;8;Plus de 70% de flux;11629,07;0
374;8129B;BUREAU DE POSTE;2;1;;Inconnu;14961,74;0
375;9319Z;BUREAU DE POSTE;1;1;;Inconnu;11699;0
376;5610C;PRO;1;1;CESS;0 a 70% de flux;2386,88;1
377;4791B;BUREAU DE POSTE;1;1;7;Inconnu;6979,65;0
378;4778C;BUREAU DE POSTE;1;1;7;Inconnu;29068,88;0
379;4322A;BUREAU DE POSTE;2;1;7;Inconnu;10897,71;0
380;8690;BUREAU DE POSTE;2;1;CESS;Inconnu;4404,21;0
381;8690;PRO;1;1;8;0 a 70% de flux;18530,03;0
382;8690E;BUREAU DE POSTE;1;1;6;Inconnu;12398,28;0
383;4322A;BUREAU DE POSTE;1;1;7;Inconnu;225;0
384;8121Z;BUREAU DE POSTE;1;1;8;Inconnu;2545;0
385;8690;PRO;1;1;8;0 a 70% de flux;17818,05;0
386;4391B;BUREAU DE POSTE;1;1;7;0 a 70% de flux;5663,6;0
387;4334Z;BUREAU DE POSTE;1;1;7;Inconnu;3498,25;0
388;4332A;BUREAU DE POSTE;1;1;6;Inconnu;1408;0
389;4789Z;BUREAU DE POSTE;1;1;6;Plus de 70% de flux;23070,65;0
390;4120B;BUREAU DE POSTE;2;1;7;Inconnu;3866;0
391;8690;A DISTANCE;2;1;8;0 a 70% de flux;26548,07;0
392;4312A;BUREAU DE POSTE;0;1;;Inconnu;10124,1;0
393;9511Z;BUREAU DE POSTE;2;1;7;Inconnu;15946,77;0
394;4799A;BUREAU DE POSTE;0;0;6;Pas de flux;;0
