,job_category,service_channel,nb_internet_products,contract_type,risk_of_credit,credit_flux,annual_flux,target
13763,68.0,1.0,1.0,1.0,1.0,0.0,1578.0,0.0
2807,111.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0
15381,80.0,1.0,1.0,1.0,9.0,2.0,20.0,0.0
8546,510.0,10.0,0.0,1.0,7.0,0.0,4718.26,0.0
18673,167.0,1.0,2.0,1.0,11.0,2.0,2558.94,1.0
304,101.0,1.0,0.0,1.0,5.0,2.0,958.63,0.0
8843,31.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0
8147,1.0,5.0,0.0,1.0,6.0,3.0,3139208.49,0.0
12483,105.0,0.0,2.0,1.0,8.0,2.0,10537.55,0.0
5743,247.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0
13873,402.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0
7922,190.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0
13976,247.0,1.0,1.0,1.0,4.0,0.0,23536.0,0.0
252,92.0,1.0,1.0,1.0,1.0,2.0,442.04,0.0
14952,226.0,1.0,1.0,1.0,7.0,0.0,59124.0,0.0
511,96.0,1.0,1.0,1.0,2.0,2.0,865.98,0.0
5900,111.0,10.0,0.0,1.0,5.0,1.0,0.0,1.0
9349,102.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0
19749,442.0,3.0,1.0,1.0,9.0,0.0,512480.94,1.0
13591,10.0,0.0,1.0,1.0,11.0,0.0,45625.05,0.0
19300,225.0,3.0,0.0,1.0,6.0,1.0,0.0,0.0
13671,8.0,1.0,2.0,1.0,0.0,0.0,7025.82,1.0
8888,225.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0
8323,280.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0
750,90.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0
16849,44.0,0.0,2.0,1.0,9.0,0.0,12280.29,0.0
7885,23.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0
742,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0
20171,81.0,1.0,1.0,1.0,6.0,2.0,5600.0,0.0
176,35.0,1.0,1.0,1.0,0.0,2.0,2762.0,0.0
12187,225.0,0.0,1.0,1.0,7.0,0.0,27856.0,0.0
12684,33.0,0.0,2.0,1.0,6.0,0.0,153083.46,0.0
19521,90.0,1.0,2.0,1.0,3.0,2.0,3118.55,0.0
13371,552.0,0.0,1.0,1.0,11.0,0.0,9523.62,0.0
15965,88.0,1.0,1.0,1.0,1.0,0.0,8769.6,0.0
13266,40.0,1.0,1.0,1.0,2.0,2.0,9598.45,0.0
17780,88.0,1.0,2.0,1.0,5.0,2.0,710.0,0.0
4807,111.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0
6672,51.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0
2390,108.0,1.0,2.0,1.0,5.0,2.0,4750.16,0.0
18142,225.0,0.0,2.0,1.0,7.0,2.0,1681.17,0.0
13538,20.0,0.0,1.0,1.0,2.0,2.0,5681.0,0.0
18938,64.0,0.0,2.0,1.0,5.0,0.0,9812.0,1.0
11325,64.0,0.0,1.0,1.0,2.0,0.0,26522.0,1.0
7497,84.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0
381,4.0,1.0,1.0,1.0,2.0,2.0,12398.28,0.0
16020,33.0,1.0,1.0,1.0,2.0,0.0,12621.5,0.0
5297,225.0,3.0,0.0,1.0,13.0,1.0,0.0,0.0
5268,69.0,1.0,1.0,1.0,6.0,1.0,0.0,0.0
13259,9.0,1.0,1.0,1.0,2.0,2.0,700.0,0.0
7168,254.0,3.0,0.0,1.0,13.0,1.0,0.0,0.0
20014,218.0,1.0,2.0,1.0,4.0,2.0,16412.18,0.0
16746,61.0,0.0,1.0,1.0,0.0,0.0,25398.68,0.0
16076,111.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0
6252,126.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0
17016,44.0,0.0,1.0,1.0,5.0,2.0,624.96,0.0
3467,0.0,0.0,1.0,1.0,0.0,0.0,23194.1,0.0
6145,0.0,0.0,1.0,1.0,0.0,0.0,5703.67,1.0
4405,225.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0
10631,44.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0
7477,111.0,1.0,2.0,1.0,5.0,2.0,75209.76,0.0
18522,20.0,0.0,1.0,1.0,2.0,0.0,12503.34,0.0
5468,264.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0
984,110.0,1.0,2.0,1.0,5.0,1.0,0.0,0.0
439,54.0,0.0,2.0,2.0,2.0,2.0,2042.49,0.0
19525,368.0,7.0,0.0,0.0,2.0,1.0,0.0,0.0
3781,326.0,1.0,2.0,1.0,0.0,0.0,1650.0,0.0
8193,153.0,5.0,0.0,1.0,2.0,1.0,0.0,0.0
429,90.0,1.0,1.0,1.0,5.0,2.0,27115.26,0.0
11346,373.0,0.0,1.0,1.0,7.0,3.0,46969.95,0.0
9703,20.0,1.0,2.0,1.0,6.0,0.0,500.0,0.0
11144,36.0,1.0,0.0,1.0,7.0,0.0,15091.53,0.0
11674,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
5702,173.0,0.0,2.0,1.0,7.0,0.0,7041.87,0.0
16878,190.0,4.0,0.0,0.0,8.0,1.0,0.0,0.0
4881,72.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0
10365,226.0,5.0,2.0,1.0,1.0,0.0,1290363.99,0.0
5143,143.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
10507,84.0,1.0,1.0,1.0,1.0,2.0,2303.95,1.0
9320,521.0,4.0,1.0,1.0,0.0,0.0,2148845.19,0.0
1226,125.0,1.0,2.0,1.0,5.0,2.0,13432.43,0.0
17616,225.0,1.0,1.0,1.0,7.0,1.0,0.0,0.0
6750,153.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0
12642,370.0,10.0,0.0,0.0,9.0,1.0,0.0,0.0
18827,225.0,1.0,1.0,1.0,7.0,2.0,148.73,0.0
18712,225.0,3.0,1.0,1.0,7.0,0.0,61674.71,0.0
903,124.0,0.0,1.0,1.0,2.0,0.0,69030.4,0.0
8369,225.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0
10268,79.0,0.0,0.0,1.0,5.0,2.0,19447.01,0.0
13311,116.0,0.0,2.0,1.0,6.0,0.0,9192.0,1.0
8703,230.0,0.0,0.0,1.0,1.0,2.0,11835.0,0.0
16104,276.0,0.0,1.0,1.0,5.0,0.0,41382.5,1.0
2991,0.0,1.0,1.0,1.0,0.0,0.0,19766.36,0.0
